workerid,proliferate.condition,Browser,OS,screenH,screenW,error
1170,main,Firefox,Windows,1080,1920,
1124,main,Chrome,Windows,1080,1920,
1031,main,Chrome,Mac,900,1440,
1053,main,Chrome,Mac,900,1440,
1430,main,Chrome,Windows,864,1536,
1647,main,Chrome,Mac,900,1440,
1321,main,Chrome,Windows,768,1366,
1634,main,Firefox,Windows,1152,2048,
1215,main,Firefox,Windows,864,1536,
1297,main,Firefox,Windows,900,1600,
1494,main,Chrome,Linux,768,1366,
1046,main,Chrome,Windows,1080,1920,
988,main,Chrome,Mac,1050,1680,
1501,main,Chrome,Windows,900,1440,
1036,main,Chrome,Windows,768,1366,
1524,main,Chrome,Windows,864,1536,
1694,main,Chrome,Windows,1440,2560,
1310,main,Firefox,Windows,858,1143,
1510,main,Safari,an unknown OS,1112,834,
1196,main,Chrome,Windows,864,1536,
1317,main,Chrome,Windows,1080,1920,
1022,main,Chrome,Mac,900,1440,
1224,main,Chrome,Linux,1080,1920,
1681,main,Chrome,Windows,1080,1920,
1309,main,Chrome,Windows,531,943,
1299,main,Chrome,Mac,900,1440,
1481,main,Chrome,Windows,720,1280,
1154,main,Chrome,Windows,900,1600,
1688,main,Chrome,Windows,864,1536,
1087,main,Chrome,Windows,864,1536,
1548,main,Firefox,Mac,768,1366,
1049,main,Chrome,Mac,900,1440,
1019,main,Chrome,Windows,1440,2560,
1033,main,Chrome,Windows,1295,2556,
1090,main,Chrome,Windows,1080,1920,
1405,main,Chrome,Windows,864,1536,
1164,main,Chrome,Windows,768,1366,
1375,main,Chrome,Windows,864,1536,
1620,main,Chrome,Windows,720,1280,
1423,main,Chrome,Windows,720,1280,
1239,main,Chrome,Windows,864,1536,
1132,main,Chrome,Windows,1080,1920,
1568,main,Chrome,Windows,768,1366,
1514,main,Chrome,Windows,1080,1920,
1159,main,Chrome,Windows,1080,1920,
1365,main,Chrome,Windows,720,1280,
1595,main,Chrome,Windows,1440,2560,
1400,main,Firefox,Windows,720,1280,
1485,main,Chrome,Windows,1024,1280,
1393,main,Chrome,Windows,1080,1920,
1304,main,Chrome,Windows,1440,2560,
1342,main,Chrome,Windows,864,1536,
1114,main,Chrome,Windows,720,1280,
1655,main,Chrome,Mac,768,1366,
1521,main,Chrome,Mac,900,1440,
1294,main,Safari,Mac,1080,1920,
1102,main,Chrome,Windows,1080,1920,
1202,main,Chrome,Windows,720,1280,
1558,main,Chrome,Windows,768,1366,
1505,main,Chrome,Windows,720,1280,
1258,main,Chrome,Windows,720,1280,
1480,main,Firefox,Windows,1080,1920,
1522,main,Firefox,Windows,640,1138,
1585,main,Chrome,Mac,900,1440,
1296,main,Safari,Mac,900,1440,
1073,main,Firefox,Windows,768,1366,
1157,main,Chrome,Windows,1080,1920,
991,main,Firefox,Windows,1080,1920,
1604,main,Chrome,Windows,1080,1920,
1234,main,Firefox,Windows,1080,1920,
1570,main,Firefox,Windows,1080,1920,
1131,main,Chrome,Windows,1024,1280,
1512,main,Chrome,Linux,835,376,
1355,main,Chrome,Windows,720,1280,
995,main,Chrome,Mac,900,1440,
1188,main,Chrome,Windows,720,1280,
984,main,Safari,Mac,900,1440,
1677,main,Chrome,Windows,768,1366,
1119,main,Firefox,Windows,864,1536,
1028,main,Chrome,Windows,768,1366,
1491,main,Chrome,Windows,1080,1920,
1637,main,Chrome,Windows,1440,2560,
1144,main,Chrome,Windows,720,1280,
1621,main,Chrome,Windows,1080,1920,
1241,main,Chrome,Windows,1080,1920,
1277,main,Chrome,Windows,720,1280,
1089,main,Chrome,Windows,1080,1920,
1307,main,Chrome,Windows,768,1366,
1371,main,Chrome,Windows,800,1280,
1597,main,Chrome,Linux,915,412,
1446,main,Chrome,Windows,864,1536,
993,main,Chrome,Mac,900,1440,
1427,main,Firefox,Windows,768,1366,
1023,main,Chrome,Windows,768,1366,
1690,main,Chrome,Windows,900,1600,
1404,main,Chrome,Windows,1050,1680,
1189,main,Chrome,Linux,1080,1920,
1616,main,Firefox,Windows,864,1536,
1349,main,Chrome,Windows,864,1536,
1219,main,Safari,Mac,900,1440,
1646,main,Chrome,Windows,768,1366,
1203,main,Chrome,Windows,1080,1920,
1360,main,Chrome,Windows,800,1280,
1057,main,Chrome,Windows,1080,1920,
1024,main,Chrome,Windows,1080,1920,
1626,main,Firefox,Windows,1080,2560,
1602,main,Chrome,Windows,1080,1920,
1622,main,Firefox,Windows,864,1536,
1664,main,Chrome,Windows,864,1536,
1582,main,Chrome,Windows,768,1366,
1382,main,Chrome,Windows,1080,1920,
1020,main,Chrome,Windows,768,1366,
1497,main,Chrome,Windows,1080,1920,
1037,main,Chrome,Windows,912,1368,
1200,main,Firefox,Windows,900,1600,
1546,main,Chrome,Windows,864,1536,
1409,main,Chrome,Mac,900,1440,
1149,main,Chrome,Windows,900,1600,
