workerid,proliferate.condition,time_in_minutes,error
1170,main,4.21955,
1124,main,3.767083333333334,
1031,main,6.0754166666666665,
1053,main,3.851,
1430,main,5.532183333333333,
1647,main,4.7342,
1321,main,9.312116666666666,
1634,main,2.993216666666666,
1215,main,10.86705,
1297,main,6.888416666666667,
1494,main,14.778866666666667,
1046,main,4.071883333333333,
988,main,3.3190166666666667,
1501,main,16.068316666666668,
1036,main,21.312366666666662,
1524,main,7.657533333333333,
1694,main,15.294283333333333,
1310,main,7.138733333333334,
1510,main,3.5464333333333333,
1196,main,6.749583333333334,
1317,main,5.02335,
1022,main,4.28595,
1224,main,4.594733333333333,
1681,main,7.215216666666667,
1309,main,37.67006666666666,
1299,main,10.12455,
1481,main,15.18765,
1154,main,11.591616666666669,
1688,main,4.893383333333333,
1087,main,12.8274,
1548,main,10.407683333333331,
1049,main,6.797033333333333,
1019,main,5.024616666666667,
1033,main,3.615116666666667,
1090,main,7.406,
1405,main,7.711333333333333,
1164,main,8.98025,
1375,main,4.2184333333333335,
1620,main,6.158783333333333,
1423,main,6.482666666666667,
1239,main,9.329866666666666,
1132,main,4.65585,
1568,main,6.537966666666667,
1514,main,8.92055,
1159,main,5.06865,
1365,main,6.223816666666667,
1595,main,4.707666666666666,
1400,main,5.933283333333334,
1485,main,9.2495,
1393,main,4.188533333333333,
1304,main,4.8549,
1342,main,6.099,
1114,main,5.9763,
1655,main,5.51515,
1521,main,4.438716666666667,
1294,main,5.793116666666666,
1102,main,5.3784833333333335,
1202,main,6.096516666666667,
1558,main,5.498766666666667,
1505,main,12.55945,
1258,main,6.783533333333334,
1480,main,5.244116666666667,
1522,main,17.123616666666667,
1585,main,6.6845,
1296,main,5.850633333333334,
1073,main,9.169033333333331,
1157,main,4.502533333333333,
991,main,5.80515,
1604,main,4.5353666666666665,
1234,main,9.321,
1570,main,4.658566666666666,
1131,main,4.399483333333333,
1512,main,4.961916666666666,
1355,main,3.9425833333333338,
995,main,5.21885,
1188,main,19.979433333333333,
984,main,5.0915333333333335,
