workerid,proliferate.condition,A_Age,A_aggressive,A_agree,A_control,A_dismissive,A_engaged,A_face,A_feel_int,A_friendly,A_incharge,A_int,A_listened,A_try_int,B_age,B_aggressive,B_agree,B_control,B_dismissive,B_engaged,B_face,B_feel_int,B_friendly,B_incharge,B_int,B_listened,B_try_int,extra_thoughts,gender_competitive,gender_competitive_score,gender_interrupted,gender_interrupted_score,gender_interrupter,gender_interrupter_score,gender_listener,gender_listener_score,gender_polite,gender_polite_score,get_along,int_race,int_sex,interruption_style,m_race,race_competitive,race_competitive_score,race_interrupted,race_interrupted_score,race_interrupter,race_interrupter_score,race_listener,race_listener_score,race_polite,race_polite_score,speaker_A,speaker_B,error
1170,main,27,24,56,0,40,64,stims/face_stims/bmfaces/bFace8.png,0,71,40,63,44,0,27,18,55,0,47,73,stims/face_stims/wffaces/fFace4.png,0,73,60,53,62,0,,Men,3,Men,3,Women,3,Women,3,Men,3,69,Black,Male,agreeable,Black,Men,3,Men,3,Men,3,Men,3,Men,3,Tremayne,Emily,
1124,main,31,0,85,19,1,60,stims/face_stims/wmfaces/wFace5.png,0,75,44,65,89,0,29,0,86,21,2,64,stims/face_stims/wffaces/fFace2.png,0,74,56,65,93,0,,Men,3,Women,3,Men,3,Women,3,Women,3,64,White,Male,agreeable,White,Men,3,Women,3,Men,3,Women,3,Women,3,Dylan,Allison,
1031,main,20,2,98,53,56,93,stims/face_stims/bffaces/bfFace1.png,0,73,43,64,76,0,22,19,68,53,58,55,stims/face_stims/wmfaces/wFace3.png,0,64,57,70,79,0,,Men,3,Women,3,Men,3,Women,3,Women,3,72,Black,Female,agreeable,White,Women,3,Men,3,Women,3,Women,3,Women,3,Monique,Ian,
1053,main,21,50,42,57,63,58,stims/face_stims/bmfaces/bFace1.png,42,40,76,62,60,45,20,18,66,46,40,69,stims/face_stims/wffaces/fFace1.png,64,63,24,62,37,33,,Men,3,Women,3,Men,3,Women,3,Women,3,67,Black,Male,interruptive,Black,Men,3,Men,3,Women,3,Women,3,Women,3,Deshawn,Emily,
1430,main,29,20,45,62,41,32,stims/face_stims/wmfaces/wFace1.png,14,36,66,36,61,88,27,14,55,39,51,52,stims/face_stims/wffaces/fFace1.png,66,47,34,48,21,38,I think they work with each other.,,2,,5,,2,,4,,3,40,White,Male,interruptive,White,,4,,3,,3,,3,,3,Cody,Laurie,
1647,main,33,56,62,95,65,21,stims/face_stims/wffaces/fFace2.png,9,41,79,53,72,96,27,31,22,15,29,55,stims/face_stims/wmfaces/wFace2.png,82,53,21,34,23,14,,Men,3,Women,3,Men,3,Women,3,Men,3,52,White,Female,interruptive,White,Men,3,Men,3,Men,3,Women,3,Women,3,Meredith,Brad,
1321,main,32,90,55,100,94,34,stims/face_stims/bmfaces/bFace8.png,25,31,91,79,80,100,36,24,89,5,28,63,stims/face_stims/wffaces/fFace3.png,96,93,9,69,8,20,they are either married or boyfriend and girlfriend,Men,2,Women,3,Men,1,Women,4,Women,4,64,Black,Male,interruptive,Black,Men,1,Women,3,Men,4,Women,5,Women,5,Rasheed,Samantha,
1634,main,22,2,96,44,0,89,stims/face_stims/wmfaces/wFace9.png,10,92,51,93,91,8,25,3,96,45,0,88,stims/face_stims/wffaces/fFace4.png,11,92,49,93,89,10,,Men,3,Women,3,Men,3,Women,3,Women,3,94,White,Male,agreeable,White,Men,3,Women,3,Men,3,Women,3,Women,3,Paul,Rebecca,
1215,main,28,24,93,38,30,82,stims/face_stims/bmfaces/bFace12.png,11,86,35,76,78,11,28,33,80,58,37,82,stims/face_stims/wffaces/fFace2.png,13,85,65,76,89,20,,Men,3,Women,3,Men,3,Women,3,Women,3,93,Black,Male,agreeable,Black,Women,3,Men,3,Women,3,Men,3,Women,3,Tyrone,Meredith,
1297,main,24,23,46,92,90,40,stims/face_stims/wmfaces/wFace5.png,5,47,80,47,49,94,24,23,45,9,19,59,stims/face_stims/wffaces/fFace2.png,94,47,20,47,13,0,,Men,3,Women,3,Men,3,Women,3,Women,3,78,White,Male,interruptive,White,Women,3,Men,3,Women,3,Men,3,Men,3,Connor,Allison,
