workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
913,pilot,,,,,Mary,,"[0, 'Mary']",1,bot_check,,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.62,,,0,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/bffaces/bfFace2.png,Latisha,,female_black,0.27,,,1,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Anne,,female_white,0,,,2,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace10.png,Peter,,male_white,0.79,,,3,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace4.png,Deshawn,,male_black,0,,,4,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace5.png,Ebony,,female_black,0.15,,,5,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace9.png,Dylan,,male_white,0,,,6,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tamika,,female_black,0,,,7,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace2.png,Deandre,,male_black,0.4,,,8,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Samantha,,female_white,0,,,9,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace8.png,Cody,,male_white,0.84,,,10,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Jasmine,,female_black,0,,,11,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace2.png,Hunter,,male_white,0,,,12,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/bmfaces/bFace9.png,Tyree,,male_black,0.28,,,13,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
913,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.74,,,14,5,26,Yes,no,1,1,n/a,Female,english,no,AA,Chrome,Windows,1080,1920,3.2024166666666667,
