workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,error
913,pilot,,,,,Mary,,"[0, 'Mary']",1,bot_check,,
913,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.62,,,0,
913,pilot,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/bffaces/bfFace2.png,Latisha,,female_black,0.27,,,1,
913,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Anne,,female_white,0,,,2,
913,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace10.png,Peter,,male_white,0.79,,,3,
913,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace4.png,Deshawn,,male_black,0,,,4,
913,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace5.png,Ebony,,female_black,0.15,,,5,
913,pilot,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace9.png,Dylan,,male_white,0,,,6,
913,pilot,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tamika,,female_black,0,,,7,
913,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace2.png,Deandre,,male_black,0.4,,,8,
913,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Samantha,,female_white,0,,,9,
913,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace8.png,Cody,,male_white,0.84,,,10,
913,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Jasmine,,female_black,0,,,11,
913,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace2.png,Hunter,,male_white,0,,,12,
913,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/bmfaces/bFace9.png,Tyree,,male_black,0.28,,,13,
913,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.74,,,14,
913,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Jamal,,male_black,0,,,15,
909,pilot,,,,,Barbara,,"[0, 'Barbara']",1,bot_check,,
909,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/bffaces/bfFace5.png,Tiara,,female_black,0.45,,,0,
909,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/bmfaces/bFace2.png,Rasheed,,male_black,0.73,,,1,
909,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Ryan,,male_white,0,,,2,
909,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/wmfaces/wFace6.png,Ethan,,male_white,0.83,,,3,
909,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace9.png,Tremayne,,male_black,0,,,4,
909,pilot,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Sarah,,female_white,1,,,5,
909,pilot,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace5.png,Jack,,male_white,0,,,6,
909,pilot,stims/audio_stims/M1_Script1_2.wav,match,stims/face_stims/bmfaces/bFace7.png,Trevon,,male_black,0.65,,,7,
909,pilot,stims/audio_stims/F2_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Deion,,male_black,0,,,8,
909,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace1.png,Carrie,,female_white,0,,,9,
909,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Jada,,female_black,0,,,10,
909,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Victoria,,female_white,1,,,11,
909,pilot,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/bffaces/bfFace1.png,Shaniqua,,female_black,0.66,,,12,
909,pilot,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Tanisha,,female_black,0,,,13,
909,pilot,stims/audio_stims/M1_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0,,,14,
909,pilot,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/wmfaces/wFace1.png,Paul,,male_white,1,,,15,
912,pilot,,,,,Margaret,,"[0, 'Margaret']",1,bot_check,,
912,pilot,stims/audio_stims/M2_Script1_1.wav,match,stims/face_stims/wmfaces/wFace6.png,Dylan,,male_white,0.89,,,0,
912,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0.91,,,1,
912,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace3.png,Aisha,,female_black,0.09,,,2,
912,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace5.png,Connor,,male_white,0.01,,,3,
912,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace10.png,Jamal,,male_black,0.22,,,4,
912,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Latoya,,female_black,0.01,,,5,
912,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace2.png,Shante,,female_black,0.44,,,6,
912,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace1.png,Laurie,,female_white,0.77,,,7,
912,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace11.png,Cody,,male_white,0.73,,,8,
912,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace2.png,Deandre,,male_black,0.01,,,9,
912,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Carrie,,female_white,0.01,,,10,
912,pilot,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/bffaces/bfFace6.png,Shaniqua,,female_black,0.69,,,11,
912,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Deion,,male_black,0,,,12,
912,pilot,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Allison,,female_white,0.01,,,13,
912,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace12.png,Jermaine,,male_black,0.52,,,14,
912,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace4.png,Jack,,male_white,0.01,,,15,
910,pilot,,,,,Mary,,"[0, 'Mary']",1,bot_check,,
910,pilot,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace10.png,Trevon,,male_black,0,,,0,
910,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Tamika,,female_black,0,,,1,
910,pilot,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace4.png,Tremayne,,male_black,0,,,2,
910,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/wmfaces/wFace10.png,Logan,,male_white,0.73,,,3,
910,pilot,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/bffaces/bfFace2.png,Latisha,,female_black,0.47,,,4,
910,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace9.png,Lamont,,male_black,0.7,,,5,
910,pilot,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Tanisha,,female_black,0.26,,,6,
910,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/wmfaces/wFace7.png,Ethan,,male_white,0.07,,,7,
910,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace12.png,Lamar,,male_black,0.65,,,8,
910,pilot,stims/audio_stims/M1_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Emily,,female_white,0,,,9,
910,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace2.png,Carrie,,female_white,0.73,,,10,
910,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace1.png,Anne,,female_white,0.67,,,11,
910,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Ebony,,female_black,0,,,12,
910,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Samantha,,female_white,0,,,13,
910,pilot,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Peter,,male_white,0.81,,,14,
910,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace12.png,Brad,,male_white,0,,,15,
914,pilot,,,,,Elizabeth,,"[0, 'elizabeth']",1,bot_check,,
914,pilot,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Ryan,,male_white,0.18,,,0,
914,pilot,stims/audio_stims/F1_Script2_2.wav,match,stims/face_stims/bffaces/bfFace5.png,Tiara,,female_black,0.78,,,1,
914,pilot,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/bmfaces/bFace10.png,Rasheed,,male_black,0.93,,,2,
914,pilot,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Dustin,,male_white,0.99,,,3,
914,pilot,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace1.png,Rebecca,,female_white,0.09,,,4,
914,pilot,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/wffaces/fFace3.png,Jill,,female_white,0.92,,,5,
914,pilot,stims/audio_stims/M2_Script2_1.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Ebony,,female_black,0.04,,,6,
914,pilot,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Rachel,,female_white,0.02,,,7,
914,pilot,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace8.png,Brad,,male_white,0.19,,,8,
914,pilot,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/bffaces/bfFace3.png,Latoya,,female_black,0.89,,,9,
914,pilot,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace6.png,Shaniqua,,female_black,0.03,,,10,
914,pilot,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.9,,,11,
914,pilot,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace8.png,Marquis,,male_black,0.03,,,12,
914,pilot,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Hakeem,,male_black,0.04,,,13,
914,pilot,stims/audio_stims/M1_Script2_2.wav,match,stims/face_stims/bmfaces/bFace9.png,Jamal,,male_black,0.94,,,14,
914,pilot,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/wmfaces/wFace5.png,Roger,,male_white,0.94,,,15,
