workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
945,norming,,,,,Margaret,,"[0, 'Margaret']",1,bot_check,,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Tyree,,male_black,0.35,,,0,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/bmfaces/bFace11.png,Deandre,,male_black,0.55,,,1,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/bffaces/bfFace5.png,Jasmine,,female_black,0.39,,,2,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace1.png,Connor,,male_white,0.25,,,3,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/wmfaces/wFace9.png,Brett,,male_white,0.74,,,4,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace6.png,Jack,,male_white,0.22,,,5,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Latisha,,female_black,0.21,,,6,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace9.png,Rasheed,,male_black,0.61,,,7,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Brad,,male_white,0.65,,,8,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Sarah,,female_white,0.1,,,9,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.55,,,10,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Rachel,,female_white,0.2,,,11,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/wffaces/fFace1.png,Anne,,female_white,0.71,,,12,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Tremayne,,male_black,0.15,,,13,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Monique,,female_black,0.21,,,14,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
945,norming,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace2.png,Shante,,female_black,0.17,,,15,3,19,No,,1,2,I suppose,Male,English,No,AA,Safari,iPhone/iPod,896,414,2.528466666666666,
963,norming,,,,,Linda,,"[0, 'Linda']",1,bot_check,,6,32,Yes,,3,2,0.69 pounds,Male,English,No.,White,Firefox,Linux,1080,1920,2.8763666666666667,
963,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Deshawn,,male_black,0,,,0,6,32,Yes,,3,2,0.69 pounds,Male,English,No.,White,Firefox,Linux,1080,1920,2.8763666666666667,
963,norming,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace1.png,Malika,,female_black,0.79,,,1,6,32,Yes,,3,2,0.69 pounds,Male,English,No.,White,Firefox,Linux,1080,1920,2.8763666666666667,
