workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,error
945,norming,,,,,Margaret,,"[0, 'Margaret']",1,bot_check,,
945,norming,stims/audio_stims/F2_Script1_1.wav,mismatch,stims/face_stims/bmfaces/bFace12.png,Tyree,,male_black,0.35,,,0,
945,norming,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/bmfaces/bFace11.png,Deandre,,male_black,0.55,,,1,
945,norming,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/bffaces/bfFace5.png,Jasmine,,female_black,0.39,,,2,
945,norming,stims/audio_stims/F2_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace1.png,Connor,,male_white,0.25,,,3,
945,norming,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/wmfaces/wFace9.png,Brett,,male_white,0.74,,,4,
945,norming,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace6.png,Jack,,male_white,0.22,,,5,
945,norming,stims/audio_stims/M2_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Latisha,,female_black,0.21,,,6,
945,norming,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/bmfaces/bFace9.png,Rasheed,,male_black,0.61,,,7,
945,norming,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/wmfaces/wFace4.png,Brad,,male_white,0.65,,,8,
945,norming,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Sarah,,female_white,0.1,,,9,
945,norming,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/wffaces/fFace4.png,Hannah,,female_white,0.55,,,10,
945,norming,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Rachel,,female_white,0.2,,,11,
945,norming,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/wffaces/fFace1.png,Anne,,female_white,0.71,,,12,
945,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Tremayne,,male_black,0.15,,,13,
945,norming,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Monique,,female_black,0.21,,,14,
945,norming,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace2.png,Shante,,female_black,0.17,,,15,
963,norming,,,,,Linda,,"[0, 'Linda']",1,bot_check,,
963,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/bmfaces/bFace6.png,Deshawn,,male_black,0,,,0,
963,norming,stims/audio_stims/F1_Script1_2.wav,match,stims/face_stims/bffaces/bfFace1.png,Malika,,female_black,0.79,,,1,
963,norming,stims/audio_stims/F2_Script2_1.wav,match,stims/face_stims/wffaces/fFace3.png,Victoria,,female_white,1,,,2,
963,norming,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/bffaces/bfFace5.png,Aisha,,female_black,0,,,3,
963,norming,stims/audio_stims/M2_Script2_2.wav,match,stims/face_stims/wmfaces/wFace12.png,Logan,,male_white,1,,,4,
963,norming,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/bmfaces/bFace3.png,Tremayne,,male_black,0.73,,,5,
963,norming,stims/audio_stims/F1_Script2_1.wav,mismatch,stims/face_stims/wmfaces/wFace10.png,Ethan,,male_white,0,,,6,
963,norming,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace4.png,Jasmine,,female_black,0,,,7,
963,norming,stims/audio_stims/F1_Script1_1.wav,mismatch,stims/face_stims/wmfaces/wFace9.png,Paul,,male_white,0,,,8,
963,norming,stims/audio_stims/F2_Script1_2.wav,match,stims/face_stims/wffaces/fFace4.png,Rebecca,,female_white,0.89,,,9,
963,norming,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/wffaces/fFace2.png,Lauren,,female_white,0,,,10,
