workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,subject_information.affiliation,subject_information.age,subject_information.asses,subject_information.comments,subject_information.education,subject_information.enjoyment,subject_information.fairprice,subject_information.gender,subject_information.language,subject_information.problems,subject_information.race,system.Browser,system.OS,system.screenH,system.screenW,time_in_minutes,error
915,norming,,,,,Elizabeth,,"[0, 'elizabeth']",1,bot_check,,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Shaniqua,,female_black,0.83,,,0,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/bmfaces/bFace2.png,Tremayne,,male_black,0.9,,,1,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/wmfaces/wFace10.png,Brett,,male_white,0.79,,,2,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Rebecca,,female_white,0.05,,,3,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Jada,,female_black,0.03,,,4,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace5.png,Jasmine,,female_black,0.05,,,5,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/wffaces/fFace1.png,Hannah,,female_white,0.87,,,6,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/bffaces/bfFace6.png,Aisha,,female_black,0.95,,,7,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/bmfaces/bFace4.png,Marcellus,,male_black,0.81,,,8,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Brad,,male_white,0.03,,,9,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F2_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace11.png,Deshawn,,male_black,0.04,,,10,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/wmfaces/wFace9.png,Peter,,male_white,0.77,,,11,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace7.png,Deion,,male_black,0,,,12,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/wffaces/fFace2.png,Megan,,female_white,0.98,,,13,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Carrie,,female_white,0,,,14,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
915,norming,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace6.png,Hunter,,male_white,0,,,15,1,23,Yes,it was interesting! thanks!,3,2,what you paid me,Male,English,nope!,White,Chrome,Mac,1440,2560,1.62295,
