workerid,proliferate.condition,audio,condition,face,first,image,race/gender,response,slide_number,slide_type,trial_num,error
915,norming,,,,,Elizabeth,,"[0, 'elizabeth']",1,bot_check,,
915,norming,stims/audio_stims/F2_Script2_2.wav,match,stims/face_stims/bffaces/bfFace3.png,Shaniqua,,female_black,0.83,,,0,
915,norming,stims/audio_stims/M1_Script2_1.wav,match,stims/face_stims/bmfaces/bFace2.png,Tremayne,,male_black,0.9,,,1,
915,norming,stims/audio_stims/M2_Script2_1.wav,match,stims/face_stims/wmfaces/wFace10.png,Brett,,male_white,0.79,,,2,
915,norming,stims/audio_stims/M2_Script2_2.wav,mismatch,stims/face_stims/wffaces/fFace4.png,Rebecca,,female_white,0.05,,,3,
915,norming,stims/audio_stims/M1_Script2_2.wav,mismatch,stims/face_stims/bffaces/bfFace1.png,Jada,,female_black,0.03,,,4,
915,norming,stims/audio_stims/M2_Script1_1.wav,mismatch,stims/face_stims/bffaces/bfFace5.png,Jasmine,,female_black,0.05,,,5,
915,norming,stims/audio_stims/F1_Script1_1.wav,match,stims/face_stims/wffaces/fFace1.png,Hannah,,female_white,0.87,,,6,
915,norming,stims/audio_stims/F1_Script2_1.wav,match,stims/face_stims/bffaces/bfFace6.png,Aisha,,female_black,0.95,,,7,
915,norming,stims/audio_stims/M2_Script1_2.wav,match,stims/face_stims/bmfaces/bFace4.png,Marcellus,,male_black,0.81,,,8,
915,norming,stims/audio_stims/F1_Script2_2.wav,mismatch,stims/face_stims/wmfaces/wFace3.png,Brad,,male_white,0.03,,,9,
915,norming,stims/audio_stims/F2_Script2_1.wav,mismatch,stims/face_stims/bmfaces/bFace11.png,Deshawn,,male_black,0.04,,,10,
915,norming,stims/audio_stims/M1_Script1_1.wav,match,stims/face_stims/wmfaces/wFace9.png,Peter,,male_white,0.77,,,11,
915,norming,stims/audio_stims/F2_Script1_2.wav,mismatch,stims/face_stims/bmfaces/bFace7.png,Deion,,male_black,0,,,12,
915,norming,stims/audio_stims/F2_Script1_1.wav,match,stims/face_stims/wffaces/fFace2.png,Megan,,female_white,0.98,,,13,
915,norming,stims/audio_stims/M1_Script1_2.wav,mismatch,stims/face_stims/wffaces/fFace3.png,Carrie,,female_white,0,,,14,
915,norming,stims/audio_stims/F1_Script1_2.wav,mismatch,stims/face_stims/wmfaces/wFace6.png,Hunter,,male_white,0,,,15,
